Thu Dec 18 11:12:56 2025,angry,Man,29
Thu Dec 18 11:12:57 2025,neutral,Man,33
Thu Dec 18 11:12:58 2025,neutral,Man,33
Thu Dec 18 11:12:59 2025,neutral,Man,33
Thu Dec 18 11:13:00 2025,happy,Man,37
Thu Dec 18 11:13:01 2025,happy,Man,37
Thu Dec 18 11:13:02 2025,neutral,Man,29
Thu Dec 18 11:13:03 2025,neutral,Man,31
Thu Dec 18 11:13:04 2025,neutral,Man,29
Thu Dec 18 11:13:05 2025,neutral,Man,39
Thu Dec 18 11:13:06 2025,sad,Man,31
Thu Dec 18 11:13:07 2025,happy,Man,38
Thu Dec 18 11:13:08 2025,happy,Man,38
Thu Dec 18 11:13:09 2025,fear,Man,30
Thu Dec 18 11:13:10 2025,sad,Man,38
Thu Dec 18 11:13:11 2025,neutral,Man,27
Thu Dec 18 11:13:12 2025,sad,Man,38
Thu Dec 18 11:13:13 2025,neutral,Man,29
Thu Dec 18 11:13:14 2025,sad,Man,37
Thu Dec 18 11:13:15 2025,sad,Man,37
Thu Dec 18 11:13:16 2025,fear,Man,36
Thu Dec 18 11:13:17 2025,neutral,Man,38
Thu Dec 18 11:13:18 2025,sad,Man,29
Thu Dec 18 11:13:19 2025,neutral,Man,27
Thu Dec 18 11:13:20 2025,happy,Man,44
Thu Dec 18 11:13:21 2025,sad,Man,30
Thu Dec 18 11:13:22 2025,happy,Man,45
Thu Dec 18 11:13:23 2025,neutral,Man,31
Thu Dec 18 11:13:24 2025,neutral,Man,47
Thu Dec 18 11:13:25 2025,neutral,Man,30
Thu Dec 18 11:13:26 2025,neutral,Man,30
Thu Dec 18 11:13:27 2025,neutral,Man,30
Thu Dec 18 11:13:28 2025,happy,Man,44
Thu Dec 18 11:13:29 2025,angry,Man,33
Thu Dec 18 11:13:30 2025,neutral,Man,34
Thu Dec 18 11:13:31 2025,happy,Man,44
Thu Dec 18 11:13:32 2025,happy,Man,37
Thu Dec 18 11:13:33 2025,angry,Man,36
Thu Dec 18 11:13:34 2025,surprise,Man,29
Thu Dec 18 11:13:35 2025,neutral,Man,34
Thu Dec 18 11:13:36 2025,neutral,Man,36
Thu Dec 18 11:13:37 2025,neutral,Man,31
Thu Dec 18 11:13:38 2025,neutral,Man,32
Thu Dec 18 11:13:39 2025,neutral,Man,33
Thu Dec 18 11:13:41 2025,sad,Man,38
Sat Dec 20 00:58:29 2025,fear,Man,40
Sat Dec 20 00:58:30 2025,angry,Man,37
Sat Dec 20 00:58:31 2025,angry,Man,35
Sat Dec 20 00:58:32 2025,happy,Man,34
Sat Dec 20 00:58:33 2025,surprise,Man,37
Sat Dec 20 00:58:34 2025,fear,Man,40
Sat Dec 20 00:58:35 2025,sad,Man,34
Sat Dec 20 00:58:36 2025,sad,Man,38
Sat Dec 20 00:58:37 2025,neutral,Man,31
Sat Dec 20 00:58:38 2025,surprise,Man,39
Sat Dec 20 00:58:39 2025,fear,Man,37
Sat Dec 20 00:58:40 2025,neutral,Man,39
Sat Dec 20 00:58:41 2025,happy,Man,37
Sat Dec 20 00:58:42 2025,happy,Man,35
Sat Dec 20 00:58:43 2025,neutral,Man,36
Sat Dec 20 00:58:44 2025,happy,Man,42
Sat Dec 20 00:58:45 2025,neutral,Man,32
Sat Dec 20 00:58:46 2025,neutral,Man,31
Sat Dec 20 00:58:47 2025,happy,Man,41
Sat Dec 20 00:58:48 2025,happy,Man,40
Sat Dec 20 00:58:49 2025,happy,Man,40
Sat Dec 20 00:58:50 2025,happy,Man,41
Sat Dec 20 00:58:51 2025,happy,Man,41
Sat Dec 20 00:58:52 2025,neutral,Man,34
Sat Dec 20 00:58:53 2025,happy,Man,42
Sat Dec 20 00:58:54 2025,neutral,Man,32
Sat Dec 20 00:58:55 2025,happy,Man,37
Sat Dec 20 01:05:27 2025,happy,Man,33
Sat Dec 20 01:05:28 2025,happy,Man,34
Sat Dec 20 01:05:29 2025,happy,Man,36
Sat Dec 20 01:05:29 2025,happy,Man,34
Sat Dec 20 01:05:30 2025,angry,Man,31
Sat Dec 20 01:05:32 2025,fear,Man,37
Sat Dec 20 01:05:33 2025,fear,Man,37
Sat Dec 20 01:05:34 2025,neutral,Man,30
Sat Dec 20 01:05:35 2025,neutral,Man,33
Sat Dec 20 01:05:36 2025,fear,Man,32
Sat Dec 20 01:05:37 2025,happy,Man,33
Sat Dec 20 01:05:38 2025,happy,Man,33
Sat Dec 20 01:05:39 2025,happy,Man,39
Sat Dec 20 01:05:40 2025,sad,Man,38
Sat Dec 20 01:05:41 2025,happy,Man,37
Sat Dec 20 01:05:42 2025,fear,Man,37
Sat Dec 20 01:05:43 2025,surprise,Man,38
Sat Dec 20 01:05:44 2025,surprise,Man,41
Sat Dec 20 01:05:45 2025,neutral,Man,27
Sat Dec 20 01:05:46 2025,neutral,Woman,26
Sat Dec 20 01:05:47 2025,neutral,Man,32
Sat Dec 20 01:05:48 2025,neutral,Man,31
Sat Dec 20 01:05:49 2025,happy,Man,40
Sat Dec 20 01:05:50 2025,happy,Man,36
Sat Dec 20 01:05:51 2025,happy,Man,30
Sat Dec 20 01:05:51 2025,happy,Man,35
Sat Dec 20 01:05:52 2025,happy,Man,38
Sat Dec 20 01:05:53 2025,happy,Man,35
Sat Dec 20 01:05:54 2025,neutral,Man,31
Sat Dec 20 01:05:55 2025,happy,Man,36
Sat Dec 20 01:05:55 2025,neutral,Man,29
Sat Dec 20 01:05:56 2025,neutral,Man,31
Sat Dec 20 01:05:56 2025,happy,Man,34
Sat Dec 20 01:05:57 2025,neutral,Man,30
Sat Dec 20 01:05:57 2025,happy,Man,43
Sat Dec 20 01:05:58 2025,neutral,Man,30
Sat Dec 20 01:05:58 2025,neutral,Man,28
Sat Dec 20 01:05:59 2025,neutral,Man,30
Sat Dec 20 01:05:59 2025,neutral,Man,28
Sat Dec 20 01:06:00 2025,neutral,Man,26
Sat Dec 20 01:06:00 2025,fear,Man,32
Sat Dec 20 01:06:01 2025,fear,Man,25
Sat Dec 20 01:06:01 2025,fear,Man,36
Sat Dec 20 01:06:02 2025,fear,Man,29
Sat Dec 20 01:06:02 2025,neutral,Man,34
Sat Dec 20 01:06:03 2025,neutral,Man,30
Sat Dec 20 01:06:03 2025,neutral,Man,36
Sat Dec 20 01:06:04 2025,happy,Man,25
Sat Dec 20 01:06:04 2025,neutral,Man,37
Sat Dec 20 01:06:05 2025,neutral,Man,27
Sat Dec 20 01:06:06 2025,angry,Man,31
